Layer 1,Layer 2,Layer 3,Layer 4,Layer 5,Layer 6,Layer 7,Layer 8,Layer 9,Layer 10
29.7482,23.8949,17.0883,1.29976,0.00619828,0,0,0,0,0
14.223,1.85864,2.3962,1.65975,0,0,0,0,0,0
62.225,4.67624,5.16536,0,0,0,0,0,0,0
37.432,8.90845,12.176,0,0,0,0,0,0,0
29.4305,6.81317,0.900183,0.509841,0,0.272241,0,0,0,0
32.6257,16.1304,1.57885,3.63669,0,0,0,0,0,0
19.4881,17.9181,1.32132,3.07426,0,1.54093,0,0,0,0
31.0468,11.3562,1.82225,9.06275,0.0125389,0,0,0,0,0
2.09597,28.7838,13.5689,2.80579,0.549593,1.11333,0.155503,0,0,0
3.15749,27.3789,7.38897,0.286761,0,0,0,0,0,0
33.4063,6.59938,11.5339,0,0,0.0535873,0,0,0,0
20.5478,16.6194,0.291533,0.120777,0.306822,0,0,0,0,0
11.7479,15.8772,4.82944,2.62759,0,0.868649,0,0,0,0
26.2596,18.4568,1.50053,0.0253399,0,0,0,0,0,0
49.2418,17.3888,1.55491,0.202549,0,0,0,0,0,0
20.8982,20.4861,12.4088,3.21729,0,0,0,0,0,0
31.75,0.631887,2.48403,1.36963,0.0271107,0,0,0,0,0
18.3197,2.1765,8.32371,3.95572,8.28506,0,0,0,0,0
21.8112,23.9414,10.8017,0,0,0,0,0,0,0
17.01,11.8859,2.05812,0.225097,0,0.0300348,0,0,0,0
7.19468,2.35757,4.62007,6.43688,0,0,0,0,0,0
22.5157,23.6947,0.5838,0.18542,0,0,0,0,0,0
30.2588,11.0073,10.0531,0,0,0,0,0,0,0
28.383,15.3348,0.24329,0.446239,0,0,0,0,0,0
23.1799,18.9665,3.30538,0.467659,1.67542,0,0,0,0,0
20.6913,11.4873,8.50864,0,0.532294,0,0,0,0,0
50.4826,24.7768,1.3975,0.987122,0,0.185308,0,0,0,0
2.29096,17.3058,16.2739,5.87678,3.67172,2.88384,0,0,0,0
24.7085,10.506,6.27084,1.2278,7.37858,0,0,0,0,0
34.5505,14.7645,6.42966,0.904136,0.161656,0.464011,0,0,0,0
19.2681,1.24953,2.11108,0.433006,0.865273,0.140647,0,0,0,0
30.1134,18.2549,0,0,0.313528,0,0,0,0,0
10.0419,29.5388,1.38318,1.0781,3.72626,0,0,0,0,0
21.8472,19.2562,2.30891,1.42709,0,0,0,0,0,0
18.9694,3.59388,0.262362,0,0,0,0,0,0,0
19.4353,17.1662,4.68079,0,0,0,0,0,0,0
28.3815,23.1442,0.332718,9.07478,0,0,0,0,0,0
