Layer 1,Layer 2,Layer 3,Layer 4,Layer 5,Layer 6,Layer 7,Layer 8,Layer 9,Layer 10
7.0847,28.3747,3.96978,0,0,0,0,0,0,0
31.3139,11.6019,0,0,0,0,0,0,0,0
3.24849,7.17915,5.6098,35.9496,3.91132,0.96256,0,0,0,0
6.31688,64.0095,36.7732,0,0,0,0,0,0,0
4.58844,3.32558,8.1084,6.03795,40.8245,0,0,0,0,0
25.4657,1.92877,0.983136,0.519636,0.0202488,0.776452,0,0,0,0
9.78957,25.6008,6.12495,1.00929,0.0935086,0,0.686642,0,0,0
10.0623,2.88098,3.10969,5.11477,4.29591,2.11887,2.44324,0,0.0454496,0
19.4028,12.6193,30.8879,0,0,0,0,0,0,0
8.48752,31.5642,0.122502,0.0743453,0,0,0,0,0,0
30.5861,50.4,0,0,0,0,0,0,0,0
3.11423,6.38609,47.9666,12.9975,0,0,0,0,0,0
3.77599,4.41057,3.31929,4.21632,16.5284,20.5837,0.0242021,4.91274,0.891161,0
16.1388,2.00547,2.24743,0.116205,1.23177,0.0515695,0.0631268,0,0,0
4.38454,4.00598,6.88213,15.0841,1.41371,0.447081,2.49592,0.0413175,0,0
3.57569,43.902,7.92306,0.339956,0,0,0,0,0,0
65.3323,2.60977,0.22558,6.7347,0,0,0,0,0,0
10.6201,9.31576,8.19455,16.3164,1.21717e-05,0,0,0,0,0
3.04619,3.08602,3.01552,3.75014,3.00731,44.1351,20.2346,0.000713149,0,0
3.61407,60.9254,11.1892,6.2396,0.499876,0,0,0,0,0
48.5971,5.20374,0.0908283,0.000749867,32.5087,1.42385,0,0,0,0
3.51919,4.28704,3.46785,3.16037,3.19379,6.82559,4.3811,50.9413,1.61167,10.529
21.4879,15.9782,3.57205,0,0,0,0,0,0,0
31.8952,5.98516,5.84618,0,0,0,0,0,0,0
2.65537,2.97076,2.87016,3.24541,8.12137,4.63378,9.59852,2.29674,3.92361,0.137781
14.0147,7.64471,9.7412,12.936,0,0,0,0,0,0
3.22096,3.61768,4.71663,3.84267,6.88118,4.09454,1.44144,2.08017,0.00131572,3.09335e-05
27.4953,21.4257,5.76037,0.406792,5.80965e-06,0,0,0,0,0
3.42649,3.36524,2.92895,3.45455,3.0411,3.23091,3.26195,3.06969,4.22744,1.42847
35.7749,4.96399,25.0907,6.47341,0,0,0,6.16417,0.544709,0.0720764
4.78182,3.30809,3.23531,9.5964,6.71397,21.9674,9.66742,0.267342,0,0
3.353,41.6357,7.13672,18.9107,0.123287,0,0,0,0.785621,0
73.3538,2.40128,0.145188,6.75881,1.1575,0.410573,0.168494,0,0,0
34.2456,3.01691,1.16534,0.344453,0,0,0,0,0,0
4.1376,2.87935,2.74855,3.09931,3.66454,3.30957,3.19613,2.93934,3.27412,3.10393
2.90488,4.1699,3.06979,3.76292,3.37091,4.65391,2.69546,3.55994,12.9492,2.30931
3.11116,2.76655,3.434,11.5163,73.942,29.2869,5.01331,14.6207,0,0
3.24265,2.89161,5.15913,2.62085,3.11701,3.57275,3.20221,4.5757,0.572094,0
2.74471,3.14084,2.89517,2.8472,3.10405,3.0417,29.751,0.0537122,2.06915,0
21.0422,13.0661,6.4734,0.956482,0,0,0,0,0,0
4.96987,13.3827,8.45884,0.0529927,0,0,0,0,0,0
3.92175,6.9087,3.17527,3.37543,3.24159,4.7719,5.11774,3.68368,7.92013,0.745553
3.90455,4.71929,16.9701,4.47868,40.8903,3.29632,1.72647,0,0,0
4.90721,2.86213,4.86399,15.2448,7.91451,0.631855,3.48263,0.136151,0.752912,0.615085
29.2354,0,0,0,0,0,0,0,0,0
27.5924,9.46306,0.336687,1.10592,0.29044,29.6482,1.43669,0.027114,0.0140343,0
4.38807,6.38111,13.628,14.7867,0,0.928273,0,0,0,0
3.88952,3.33172,24.4369,4.14561,5.1918,3.45718,0,0,0,0
3.13684,3.48263,3.01088,10.2203,29.161,0.504295,1.85964,0,0,0
29.4856,5.52809,0.132276,0.17006,0,0,0,0,0,0
53.125,0.000679677,0,0,0,0,0,0,0,0
4.4349,2.99367,3.0686,3.10232,4.79438,6.15798,2.09236,0,0,0
3.66693,3.71262,3.16109,3.04098,3.28109,3.62721,3.07648,3.20873,2.96603,17.7697
3.8711,4.54668,5.06699,9.06341,51.7222,6.66915,1.55122,0,0,0
8.77003,8.16924,8.83797,6.55231,12.238,0.0253796,0,0,0,0
3.42851,7.3588,9.32527,31.584,25.0251,1.66277,0.888572,0,0,0
3.02022,4.33128,4.41598,6.59281,18.5365,0.57818,1.73871,0,0,0
13.4614,9.67038,9.03913,10.1269,0.815888,0,0,0,0,0
9.09868,7.42592,5.16704,6.6493,7.76634,23.0964,0,0,0,0
6.3665,13.2513,13.8544,3.6437,0.437602,0.41941,0.29448,0,0,0
4.67249,3.88897,5.06418,6.49531,3.86719,6.57469,8.36127,9.46093,1.3466,3.6016e-05
3.27653,4.28754,5.56227,0,0,0,0,0,0,0
6.17948,3.15516,4.46624,2.9918,3.30586,3.85898,3.44382,6.475,0.969377,0
25.8453,12.5802,0.244073,0,0,0,0,0,0,0
7.16323,59.7953,9.68315,119.143,0.808448,1.01035,0,0,0,0
3.42151,6.55401,5.1549,21.1321,0.441481,0,0,0,0,0
3.03579,4.55442,4.42071,12.6579,2.15181,1.72354,2.79014,0.357146,0,0
3.77993,5.6033,33.825,37.0225,0.405205,0.278427,0,0,0,0
2.80125,4.37317,3.59563,3.66724,64.753,14.673,0.374911,0.845732,0,0
